"attr_time","attr_x","attr_y","attr_z"
"1518483759516","0.0719855","-0.0452986","-0.0142083"
"1518483759536","0.174429","-0.0304928","-0.315919"
"1518483759555","0.355986","0.0483913","-0.52664"
"1518483759578","0.353744","0.0865984","-0.549645"
"1518483759598","0.267672","0.0635319","-0.372676"
"1518483759615","-0.0214593","0.102542","-0.437967"
"1518483759635","-0.135924","0.0992718","-0.312065"
"1518483759655","-0.198764","0.142626","-0.314776"
"1518483759675","-0.0747324","0.20604","-0.370577"
"1518483759695","0.173895","0.145679","-0.2888"
"1518483759716","0.242549","0.0571651","-0.338303"
"1518483759735","0.0580442","-0.00406837","-0.358752"
"1518483759756","-0.0857286","0.0101528","-0.288917"
"1518483759776","-0.129876","0.103893","-0.051084"
"1518483759795","-0.0560156","0.108015","0.0951273"
"1518483759815","0.158222","0.0232029","0.0990868"
"1518483759835","0.157224","0.0587854","0.0850158"
"1518483759856","0.17175","-0.0200109","0.0526893"
"1518483759879","0.0128973","0.0203838","0.0095892"
"1518483759895","-0.0222443","0.0143909","0.0383182"
"1518483759914","-0.0637655","-0.0229645","0.130256"
"1518483759935","-0.0490969","-0.0164566","0.136767"
